age,gender,country,job_role,seniority_level,years_experience,company_size,industry,work_mode,work_hours_per_week,meetings_per_day,team_size,sleep_hours_per_night,exercise_days_per_week,vacation_days_taken,therapy_access,uses_therapy,ai_tools_daily,manager_support_score,work_life_balance_score,job_satisfaction_score,social_support_score,deadline_pressure_score,autonomy_score,burnout_level,salary_relative
33,Male,India,Software Engineer,Lead,11,Small (51-200),Healthcare Tech,Remote,55,7.3,19,6.3,0,14,0,0,0,6.0,4.4,2.8,3.9,8.3,6.1,Severe,0.962782656685407
24,Non-binary,USA,Full Stack Developer,Manager,0,Startup (1-50),Fintech,Hybrid,44,5.5,7,4.7,2,15,0,0,1,7.6,4.0,3.7,3.8,9.3,5.4,High,1.147557877420556
36,Prefer not to say,USA,Software Engineer,Lead,14,Mid (201-1000),Fintech,On-site,45,6.2,27,6.0,0,14,0,0,1,4.8,6.2,4.8,5.7,8.9,4.1,Severe,1.4801497480426153
38,Non-binary,USA,Software Engineer,Lead,14,Mid (201-1000),SaaS / Cloud,Remote,54,5.3,12,6.5,1,12,0,0,1,6.7,1.8,5.0,4.8,6.2,7.3,Severe,1.2928344264585487
22,Non-binary,France,ML Engineer,Junior,0,Small (51-200),AI / ML Startup,Hybrid,49,3.9,8,7.4,2,15,0,0,1,7.9,5.0,1.0,4.4,5.4,4.4,Moderate,0.7739607549633238
22,Female,Brazil,Data Analyst,Principal,0,Startup (1-50),Social Media / AdTech,Remote,50,4.5,6,6.8,5,8,0,0,1,4.0,2.7,4.0,5.6,2.6,9.0,Severe,1.2117527884899233
32,Male,USA,Data Analyst,Junior,10,Small (51-200),Consulting,Hybrid,41,1.6,20,3.6,1,14,0,0,1,4.9,6.2,3.5,5.8,4.3,4.8,Moderate,0.3746568900604617
29,Female,Netherlands,DevOps Engineer,Mid,8,Large (1001-5000),AI / ML Startup,Hybrid,39,4.7,22,6.7,4,12,0,0,1,5.1,1.2,4.5,5.3,10.0,5.0,Moderate,0.9723847194571403
31,Male,USA,Software Engineer,Mid,9,Mid (201-1000),Social Media / AdTech,Hybrid,45,2.3,24,6.9,4,22,0,0,1,5.2,3.9,7.8,5.9,5.4,5.2,Low,0.8579846633248325
25,Male,Singapore,Product Manager,Mid,3,Small (51-200),Fintech,Hybrid,52,2.6,6,6.9,6,12,1,1,1,4.0,9.1,2.2,6.5,7.6,7.0,Moderate,0.8878106977460067
37,Female,USA,Data Analyst,Lead,15,Mid (201-1000),AI / ML Startup,Remote,60,8.0,24,6.0,0,8,0,0,1,3.9,6.2,8.3,3.9,5.3,6.3,Severe,0.8602243981368606
36,Male,UK,Product Manager,Lead,16,Startup (1-50),Cybersecurity,Remote,54,4.0,8,7.0,7,11,1,0,1,9.3,6.7,1.0,2.2,6.7,6.8,High,1.317616731414759
31,Male,USA,Data Scientist,Mid,8,Small (51-200),Fintech,Remote,47,0.9,16,5.9,1,11,0,0,1,2.8,7.4,5.2,3.0,8.2,8.8,Moderate,0.771562395851343
39,Female,India,Frontend Developer,Manager,17,Small (51-200),E-commerce,Remote,38,5.4,14,4.9,4,12,0,0,1,5.8,4.0,3.0,5.5,4.3,5.6,Moderate,0.962782656685407
34,Female,India,Software Engineer,Manager,10,Enterprise (5000+),SaaS / Cloud,Hybrid,43,8.5,48,4.5,3,4,0,0,0,3.8,4.8,6.6,5.7,5.3,5.0,Severe,1.112182455436565
25,Male,Netherlands,Software Engineer,Senior,2,Small (51-200),Healthcare Tech,Hybrid,42,3.2,9,4.3,2,0,0,0,0,6.5,3.1,4.0,6.7,8.3,5.3,Moderate,0.89972684107712
34,Male,Netherlands,Frontend Developer,Mid,12,Enterprise (5000+),Social Media / AdTech,Hybrid,47,5.2,30,8.5,7,2,0,0,0,7.0,5.2,4.4,3.1,6.3,5.0,Low,0.9545876211573152
24,Male,India,ML Engineer,Manager,2,Enterprise (5000+),E-commerce,Remote,58,5.4,36,6.7,6,11,1,0,1,3.1,6.4,2.6,4.2,7.8,4.5,Severe,1.3965884522214342
37,Female,India,Data Scientist,Manager,14,Mid (201-1000),SaaS / Cloud,Hybrid,48,5.2,17,5.9,0,18,1,1,0,10.0,6.7,1.8,6.8,6.6,4.0,High,1.2181607563712111
31,Male,USA,Product Manager,Senior,10,Mid (201-1000),Fintech,Remote,48,3.6,20,7.3,5,11,1,1,0,8.0,7.1,5.1,6.0,7.2,4.7,Low,1.213035124815939
30,Male,USA,Data Scientist,Junior,7,Startup (1-50),Social Media / AdTech,On-site,52,5.4,5,6.8,4,7,0,0,0,7.1,6.1,2.4,8.0,6.0,3.8,High,0.5692076049630722
26,Male,USA,Data Scientist,Senior,5,Mid (201-1000),Fintech,Remote,43,1.1,9,3.5,4,18,0,0,1,7.8,6.1,5.6,3.5,9.8,8.1,Moderate,1.223358902465131
40,Female,UK,Product Manager,Mid,16,Enterprise (5000+),Gaming,Remote,51,3.1,28,5.4,2,2,1,1,1,4.3,6.1,6.8,7.6,7.5,6.8,High,1.2514972963023683
30,Non-binary,India,Data Scientist,Manager,6,Startup (1-50),Healthcare Tech,On-site,54,4.4,4,5.3,2,15,0,0,1,5.8,7.6,3.8,6.4,6.6,3.7,High,1.1004605765914202
28,Male,USA,Data Analyst,Mid,4,Startup (1-50),Social Media / AdTech,Hybrid,44,5.2,6,7.4,0,3,0,0,1,7.6,5.0,7.2,5.8,3.6,9.3,Moderate,0.6442912149506695
29,Male,USA,Data Scientist,Senior,6,Enterprise (5000+),E-commerce,Hybrid,52,4.8,59,5.1,0,10,1,0,1,4.2,4.1,3.7,8.7,7.6,5.7,Severe,1.1860795663946169
35,Male,UK,Product Manager,Junior,13,Enterprise (5000+),Healthcare Tech,On-site,45,0.9,41,5.7,2,23,0,0,1,5.1,9.0,3.7,8.0,9.0,7.6,Low,0.7371510405304469
34,Male,USA,Cybersecurity Engineer,Junior,15,Small (51-200),AI / ML Startup,Hybrid,53,5.4,28,6.5,0,5,0,0,1,6.0,2.6,2.2,4.5,9.4,5.6,Severe,0.6110364023705184
34,Male,Germany,Software Engineer,Junior,9,Large (1001-5000),Consulting,Remote,49,4.6,29,4.9,5,15,1,1,1,3.6,1.7,2.3,6.5,7.5,3.9,High,0.5357697055068009
34,Male,Singapore,Software Engineer,Senior,11,Large (1001-5000),Fintech,Remote,52,3.9,19,6.9,5,17,1,0,0,7.6,6.7,3.6,4.4,5.2,4.7,Moderate,1.2106356003939094
46,Male,USA,Data Scientist,Junior,25,Small (51-200),Healthcare Tech,Hybrid,57,4.6,18,7.7,4,15,0,0,0,7.7,9.9,2.9,3.9,8.7,6.0,High,0.5330131404421341
28,Male,India,Product Manager,Principal,7,Mid (201-1000),Gaming,On-site,45,1.6,11,6.8,4,13,0,0,0,3.9,8.7,1.8,3.9,9.0,6.6,Moderate,1.528128632691078
27,Male,USA,Data Analyst,Manager,5,Startup (1-50),Healthcare Tech,On-site,55,6.7,5,6.8,3,17,1,0,1,4.7,6.2,3.6,6.4,3.1,7.1,High,0.9251242139010177
25,Male,USA,Data Scientist,Junior,3,Enterprise (5000+),Enterprise Software,Hybrid,51,3.0,23,4.6,3,15,0,0,1,4.5,4.1,1.9,5.0,6.2,6.7,High,0.57620677625066
35,Male,India,DevOps Engineer,Senior,13,Mid (201-1000),Healthcare Tech,Remote,54,5.4,15,7.1,2,9,0,0,0,6.1,4.2,4.1,5.5,8.2,5.2,Severe,0.962782656685407
39,Non-binary,Canada,Cybersecurity Engineer,Mid,18,Startup (1-50),Gaming,On-site,47,6.2,8,5.1,3,11,1,1,1,2.6,5.8,5.2,8.0,6.2,7.3,Severe,0.7349463534311755
30,Male,Australia,Cybersecurity Engineer,Junior,7,Startup (1-50),Gaming,Remote,48,3.9,8,3.5,4,17,0,0,1,7.3,3.6,2.3,5.4,7.0,6.9,Moderate,0.571778732864355
25,Male,USA,DevOps Engineer,Senior,2,Large (1001-5000),Consulting,Hybrid,48,5.2,24,7.5,0,15,0,0,1,3.8,10.0,6.2,6.5,5.5,6.3,Moderate,1.1562630967094931
25,Male,Singapore,Data Scientist,Senior,1,Mid (201-1000),E-commerce,Hybrid,47,3.3,17,7.2,5,8,1,1,1,4.8,6.1,8.6,4.2,4.2,5.9,Moderate,1.1545994425850714
36,Female,USA,Full Stack Developer,Lead,16,Large (1001-5000),SaaS / Cloud,On-site,50,7.1,5,6.2,1,17,0,0,1,4.0,2.4,4.4,10.0,3.0,4.1,High,1.4262211332717518
36,Male,USA,Product Manager,Mid,15,Mid (201-1000),E-commerce,Hybrid,46,1.5,14,5.5,2,14,1,0,1,5.3,5.9,4.6,7.5,7.9,6.3,High,0.7432682459212696
35,Female,India,DevOps Engineer,Senior,16,Mid (201-1000),Consulting,Hybrid,45,4.1,20,7.7,0,3,0,0,1,6.3,8.3,6.1,9.0,6.8,5.1,High,0.962782656685407
26,Male,Netherlands,Software Engineer,Mid,5,Startup (1-50),Consulting,Hybrid,41,4.5,6,5.5,5,17,0,0,1,10.0,6.1,3.3,8.3,9.5,6.6,Low,0.714797782949649
33,Male,USA,Product Manager,Senior,11,Small (51-200),Fintech,Remote,47,3.6,16,4.7,4,16,0,0,0,3.1,2.5,3.6,6.5,9.8,7.3,Severe,0.970365107311163
32,Male,Canada,Product Manager,Mid,9,Large (1001-5000),E-commerce,On-site,49,4.1,5,5.5,1,27,1,0,1,4.3,4.8,4.4,6.1,4.6,10.0,Low,1.003976014772881
33,Male,India,DevOps Engineer,Junior,12,Large (1001-5000),Social Media / AdTech,On-site,46,3.4,11,4.5,3,12,0,0,1,4.4,10.0,5.6,2.6,5.8,7.1,High,0.962782656685407
37,Male,USA,Product Manager,Junior,15,Large (1001-5000),Fintech,Hybrid,48,0.0,27,5.7,2,8,0,0,0,10.0,5.0,3.8,3.6,8.6,3.8,High,0.6261721102799268
33,Male,India,Software Engineer,Manager,10,Large (1001-5000),SaaS / Cloud,Hybrid,55,6.9,22,5.9,2,1,0,0,1,6.3,6.1,1.0,7.9,6.3,5.4,Severe,1.1443634657362747
36,Female,USA,DevOps Engineer,Senior,16,Enterprise (5000+),Cybersecurity,Remote,49,3.3,57,6.4,4,12,0,0,0,2.4,3.2,3.9,6.4,4.1,6.2,High,1.193034992861657
31,Male,India,Data Scientist,Mid,8,Large (1001-5000),AI / ML Startup,On-site,50,0.4,8,5.4,2,22,1,1,1,6.6,4.6,2.3,7.2,5.6,4.8,Low,0.962782656685407
33,Non-binary,India,Full Stack Developer,Mid,11,Large (1001-5000),AI / ML Startup,Hybrid,47,2.5,23,5.9,3,16,1,0,0,3.8,3.1,4.6,5.7,3.9,4.8,High,0.962782656685407
35,Male,India,ML Engineer,Manager,13,Startup (1-50),SaaS / Cloud,Hybrid,50,7.2,8,6.7,5,10,1,0,1,4.3,6.3,2.8,5.9,4.3,4.0,Severe,1.0387702778643026
22,Male,USA,Backend Developer,Mid,4,Enterprise (5000+),SaaS / Cloud,Hybrid,50,3.6,33,6.2,5,11,0,0,1,7.6,5.6,5.2,3.7,7.3,6.8,Moderate,0.8794108764289604
29,Male,USA,Frontend Developer,Senior,8,Startup (1-50),E-commerce,On-site,47,3.2,8,6.2,1,21,0,0,1,7.4,6.0,5.6,4.4,5.6,6.2,Moderate,0.7291561668126708
28,Male,Australia,Software Engineer,Mid,5,Mid (201-1000),SaaS / Cloud,Remote,47,6.4,25,5.8,2,5,1,1,0,8.0,2.2,6.0,2.5,7.3,4.8,Severe,0.9137291989543695
27,Male,Australia,DevOps Engineer,Lead,4,Startup (1-50),SaaS / Cloud,Hybrid,50,4.6,6,5.6,2,12,0,0,1,9.3,2.8,3.5,7.5,8.1,4.6,High,1.2120037488148185
29,Male,UK,Software Engineer,Lead,10,Large (1001-5000),Fintech,Hybrid,55,9.5,5,6.7,7,6,0,0,1,7.8,3.8,4.0,5.3,8.4,7.3,Severe,1.5172610998133222
41,Female,Germany,Data Analyst,Junior,18,Mid (201-1000),Fintech,Remote,45,4.3,15,6.9,7,17,0,0,1,2.7,2.8,6.7,8.6,6.6,6.5,Low,0.49649665113232516
25,Female,Netherlands,Product Manager,Mid,2,Small (51-200),SaaS / Cloud,On-site,49,2.0,13,6.2,0,10,0,0,0,2.7,2.8,3.7,6.5,5.1,3.2,Severe,0.9557431137780519
38,Male,Canada,DevOps Engineer,Junior,14,Startup (1-50),Cybersecurity,Hybrid,40,5.3,4,5.3,3,10,0,0,1,9.5,5.6,5.8,4.9,7.1,5.4,Low,0.6036240537845274
22,Male,France,DevOps Engineer,Mid,1,Enterprise (5000+),AI / ML Startup,Hybrid,39,4.0,52,6.4,3,11,1,0,1,6.9,5.1,5.7,7.0,10.0,6.1,Low,1.043105107107818
29,Male,France,Data Scientist,Senior,6,Small (51-200),Fintech,On-site,40,1.5,18,4.9,7,10,0,0,1,10.0,6.9,7.0,4.6,4.6,7.6,Low,1.0970935626507967
32,Male,USA,Full Stack Developer,Mid,9,Mid (201-1000),SaaS / Cloud,Remote,38,6.9,16,6.0,4,10,1,1,1,2.9,5.1,5.2,3.2,4.0,9.6,Moderate,0.8305304139492696
35,Male,USA,Data Scientist,Mid,13,Large (1001-5000),Fintech,Hybrid,54,4.8,16,5.9,6,11,0,0,1,4.6,6.7,4.2,4.4,8.4,5.2,High,0.9429283558638191
36,Male,USA,Software Engineer,Junior,13,Small (51-200),Healthcare Tech,Remote,45,4.6,21,4.5,7,15,1,0,1,5.3,1.3,6.2,4.7,6.3,7.9,Low,0.6413340650816638
37,Female,USA,Data Analyst,Mid,17,Mid (201-1000),Enterprise Software,Remote,48,3.0,19,5.5,3,15,0,0,1,6.2,2.4,5.2,6.4,3.7,8.9,Severe,0.7092347755353742
29,Male,Brazil,Backend Developer,Senior,5,Mid (201-1000),AI / ML Startup,On-site,48,4.2,21,6.2,3,18,0,0,1,6.4,1.1,6.2,4.3,5.9,6.2,Moderate,0.9644850096139863
28,Male,USA,DevOps Engineer,Mid,5,Mid (201-1000),Cybersecurity,On-site,51,4.0,23,4.7,2,16,0,0,0,3.0,8.8,3.9,9.7,10.0,4.6,High,0.7973280951537753
37,Male,Singapore,Backend Developer,Manager,13,Large (1001-5000),Consulting,Hybrid,51,4.5,25,5.1,4,5,0,0,0,7.0,7.5,4.8,7.6,9.0,5.8,High,1.3824720240501724
